# DiversMap 統合地点データ
# フォーマット: id,name,category,subcategory,district,postal_code,address,phone,hours,access,website_url,description,tags,source,lat,lng
#
# category: transit / hazard / accessible / food / tourism / shopping / medical / other
# tags: | 区切りのタグ（バリアフリー設備・店舗特徴など）
# lat/lng: 省略可（空欄でマップに表示しない）
#
# 追加・修正はこのファイルを直接編集してください（再ビルド不要）
# 既存施設データを更新する場合は dart run tool/migrate_to_places.dart を再実行
id,name,category,subcategory,district,postal_code,address,phone,hours,access,website_url,description,tags,source,lat,lng
bf_0010,飯倉公民館,accessible,官公庁舎・公共施設,早良区,814-0161,福岡市早良区飯倉７丁目２９－２７,092-864-0818,,西鉄バス 唐木バス停から徒歩約３分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室）,車いす貸出|介添えサービス|エレベーター|バリアフリートイレ|障がい者等対応エレベーター|乗り降りしやすい駐車場|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|温水洗浄便座,市データ,33.557087,130.350433
bf_0011,飯倉中央公民館,accessible,官公庁舎・公共施設,早良区,814-0161,福岡市早良区飯倉３丁目１９－５,092-851-3565,,西鉄バス 原農協前バス停から徒歩約３分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、児童等集会室、和室、地域団体室、研修室、事務室、印刷室） ・老人いこいの家,段差無し|障がい者等対応エレベーター|乗り降りしやすい駐車場|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|オストメイト対応設備|温水洗浄便座|全館禁煙,市データ,33.566582,130.350418
bf_0012,飯原公民館,accessible,官公庁舎・公共施設,早良区,814-0022,福岡市早良区原７丁目３－２１,092-864-4545,,西鉄バス 原住還バス停から徒歩約１０分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室） ・老人いこいの家,車いす貸出|バリアフリートイレ|乗り降りしやすい駐車場|筆談対応|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|小児用便器|温水洗浄便座|全館禁煙,市データ,33.560989,130.346481
bf_0013,壱岐東公民館,accessible,官公庁舎・公共施設,西区,819-0031,福岡市西区橋本１－１４－２,092-811-2185,,西鉄壱岐東小学校前バス停から徒歩1分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、児童等集会室、和室、地域団体室、研修室、事務室、印刷室）,エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|乗り降りしやすい駐車場|筆談対応|点字（誘導）ブロック|点字案内|トイレのおむつ交換スペース|ベビーチェア|温水洗浄便座|駐車場|洋式トイレ|自動ドア|全館禁煙,市データ,33.562408,130.31778
bf_0014,壱岐南公民館,accessible,官公庁舎・公共施設,西区,819-0032,福岡市西区戸切２－１８－２０,092-812-0686,,西鉄壱岐南小学校入口バス停から徒歩3分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、児童等集会室、和室、地域団体室、事務室） ・老人いこいの家,エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|筆談対応|点字（誘導）ブロック|点字案内|トイレのおむつ交換スペース|ベビーチェア|温水洗浄便座|駐車場|洋式トイレ|自動ドア|全館禁煙,市データ,33.553871,130.313583
bf_0015,石丸公民館,accessible,官公庁舎・公共施設,西区,819-0025,福岡市西区石丸２－５－１０,092-881-4983,,西鉄石丸二丁目バス停から徒歩1分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、児童等集会室、和室、地域団体室、研修室、事務室、印刷室）,エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|乗り降りしやすい駐車場|筆談対応|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|小児用便器|温水洗浄便座|駐車場|洋式トイレ|自動ドア|全館禁煙,市データ,33.571861,130.319031
bf_0016,板付会館,accessible,官公庁舎・公共施設,博多区,812-0882,福岡市博多区麦野１丁目１−５,092-573-4687,,西鉄麦野１丁目バス停から徒歩2分,,福岡空港の航空機騒音対策として設置された施設であり、航空機の騒音に伴う障害の緩和に資するため、地域住民が行う学習、集会、休養等の活動のための施設です。 ＡＥＤを設置しています。,車いす貸出|屋内のおむつ交換スペース|全館禁煙,市データ,33.554802,130.454926
bf_0017,板付北会館,accessible,官公庁舎・公共施設,博多区,812-0888,福岡市博多区板付２－１３－２５,092-582-3750,,西鉄板付２丁目バス停から徒歩5分,,福岡空港の航空機騒音対策として設置された施設であり、航空機の騒音に伴う障害の緩和に資するため、地域住民が行う学習、集会、休養等の活動のための施設です。 ＡＥＤを設置しています。,段差無し|筆談対応|温水洗浄便座|全館禁煙,市データ,33.565823,130.453842
bf_0018,板付北公民館,accessible,官公庁舎・公共施設,博多区,812-0888,福岡市博多区板付２丁目２－２０,092-574-0651,,西鉄板付中央公園前バス停から徒歩約3分,http://gakushu.city.fukuoka.lg.jp/center/,公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室）,車いす貸出|エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|筆談対応|点字（誘導）ブロック|点字案内|トイレのおむつ交換スペース|ベビーチェア|温水洗浄便座|全館禁煙,市データ,33.567745,130.450516
bf_0019,板付公民館,accessible,官公庁舎・公共施設,博多区,812-0882,福岡市博多区麦野１丁目２９－１２,092-581-1117,,西鉄電車雑餉隈駅から徒歩約11分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室） ・老人いこいの家,車いす貸出|エレベーター|バリアフリートイレ|障がい者等対応エレベーター|乗り降りしやすい駐車場|筆談対応|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|小児用便器|温水洗浄便座|全館禁煙,市データ,33.553719,130.459167
